src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
21773160140,1921680201,443,33934,2273161701,3202744492,489,16,2866,118,0
1921680219,1921680201,3791,80,1204046841,1350476571,512,2,60,64,1
1921680201,21773160140,33934,443,3202744492,2272958945,29579,16,86,64,0
1921680201,21773160140,33934,443,3202627932,2267885056,29579,24,996,64,0
1921680209,1921680201,64389,80,1520187390,88554701,512,2,60,64,1
1921680206,1921680201,55539,80,2072020481,2122872896,512,2,60,64,1
1921680205,1921680201,5253,80,1167184304,1393502209,512,2,60,64,1
1921680201,21773160140,33934,443,3202677352,2270167252,27805,16,66,64,0
1921680209,1921680201,64362,80,1222367257,1848319026,512,2,60,64,1
1921680206,1921680201,53560,80,49269478,524448610,512,2,60,64,1
21773160140,1921680201,443,33934,2274779371,3202778062,489,24,2866,118,0
21773160140,1921680201,443,33934,2274165636,3202770602,489,24,21778,118,0
1921680210,1921680201,39388,80,2005438192,276008813,512,2,60,64,1
1921680201,21773160140,33934,443,3202688542,2270417035,29570,16,66,64,0
21773160140,1921680201,443,33934,2270685887,3202692272,489,16,1466,118,0
1921680201,21773160140,33934,443,3202699732,2270896411,29066,16,78,64,0
21773160140,1921680201,443,33934,2270460837,3202692272,489,16,5666,118,0
1921680203,1921680201,47996,80,509299191,924393806,512,2,60,64,1
1921680201,21773160140,33934,443,3202595292,2267027862,29309,16,78,64,0
21773160140,1921680201,443,33934,2271016976,3202702532,489,16,66,118,0
21773160140,1921680201,443,33934,2274647771,3202778062,489,16,1466,118,0
1921680215,1921680201,29866,80,972680008,356515705,512,2,60,64,1
1921680206,1921680201,49611,80,1513094164,1420859620,512,2,60,64,1
21773160140,1921680201,443,33934,2267691474,3202617672,489,16,2866,118,0
1921680217,1921680201,43874,80,379341372,715828755,512,2,60,64,1
21773160140,1921680201,443,33934,2272269656,3202722112,489,16,1466,118,0
21773160140,1921680201,443,33934,2267808438,3202625132,489,16,2866,118,0
1921680206,1921680201,50957,80,1136117732,383706635,512,2,60,64,1
21773160140,1921680201,443,33934,2267169564,3202602752,489,16,1466,118,0
1921680201,1921680217,80,42687,1486473879,226487326,64240,18,58,64,0
1921680206,1921680201,50932,80,285884589,950440179,512,2,60,64,1
1921680201,1921680206,80,54861,2201388310,1187059565,64240,18,58,64,0
21773160140,1921680201,443,33934,2272955764,3202737032,489,24,1650,118,0
1921680201,21773160140,33934,443,3202669892,2269503122,29558,16,86,64,0
21773160140,1921680201,443,33934,2272155326,3202722112,489,16,2866,118,0
1921680201,21773160140,33934,443,3202722112,2272384456,27942,16,78,64,0
1921680201,21773160140,33934,443,3202740762,2272958918,29568,16,66,64,0
1921680218,1921680201,62805,80,737930556,1548341655,512,2,60,64,1
1921680218,1921680201,60967,80,946331268,1715923664,512,2,60,64,1
1921680202,1921680201,344,80,1626911715,227077407,512,2,60,64,1
21773160140,1921680201,443,33934,2270228224,3202684812,489,16,1466,118,0
1921680201,1921680217,80,45673,3112801176,66648096,64240,18,58,64,0
21773160140,1921680201,443,33934,2269301741,3202662432,489,16,21066,118,0
1921680220,1921680201,8135,80,1155556767,1931427793,512,2,60,64,1
1921680207,1921680201,44857,80,840609000,469964734,512,2,60,64,1
1921680203,1921680201,52188,80,1644750417,1235858458,512,2,60,64,1
21773160140,1921680201,443,33934,2273361427,3202748222,489,24,347,118,0
1921680213,1921680201,23294,80,1769806616,1954067762,512,2,60,64,1
1921680201,21773160140,33934,443,3202647512,2268831576,29579,16,1466,64,0
1921680201,21773160140,33934,443,3202684812,2270289026,29033,16,86,64,0
1921680201,21773160140,33934,443,3202677352,2270096980,28022,16,94,64,0
21773160140,1921680201,443,33934,2273251440,3202744492,489,16,2866,118,0
1921680211,1921680201,63618,80,1075991645,744669569,512,2,60,64,1
1921680204,1921680201,24357,80,668688347,1627160607,512,2,60,64,1
21773160140,1921680201,443,33934,2268187602,3202636322,489,24,350,118,0
21773160140,1921680201,443,33934,2268940260,3202654972,489,16,1466,118,0
1921680201,21773160140,33934,443,3202744492,2273254240,27901,16,94,64,0
1921680201,21773160140,33934,443,3202580372,2266306663,29132,16,86,64,0
1921680217,1921680201,46877,80,1167697504,186683194,512,2,60,64,1
21773160140,1921680201,443,33934,2269989104,3202677352,489,16,5666,118,0
21773160140,1921680201,443,33934,2269823904,3202677352,489,24,19666,118,0
21773160140,1921680201,443,33934,2271885067,3202714652,489,16,2866,118,0
1921680208,1921680201,3124,80,1969934493,0,0,4,60,64,0
21773160140,1921680201,443,33934,2266989535,3202591562,489,24,2866,118,0
1921680201,1921680219,80,9274,624456602,1355125113,64240,18,58,64,0
1921680201,1921680207,80,38476,311534957,906180502,64240,18,58,64,0
1921680201,21773160140,33934,443,3202703462,2271346198,29579,16,1466,64,0
1921680201,21773160140,33934,443,3202669892,2269708922,28701,16,94,64,0
1921680201,1921680217,80,45046,226197137,92947423,64240,18,58,64,0
1921680201,21773160140,33934,443,3202734702,2272822920,29579,24,1466,64,0
1921680206,1921680201,53601,80,1975314689,328126464,512,2,60,64,1
21773160140,1921680201,443,33934,2274532971,3202778062,489,16,1466,118,0
1921680201,1921680207,80,43616,3551331297,954551371,64240,18,58,64,0
1921680201,21773160140,33934,443,3202569182,2266011824,28403,16,86,64,0
21773160140,1921680201,443,33934,2268848554,3202654972,489,16,2866,118,0
21773160140,1921680201,443,33934,2270678887,3202692272,489,16,1466,118,0
1921680201,21773160140,33934,443,3202742162,2272958945,29579,24,1466,64,0
1921680201,21773160140,33934,443,3202714652,2271879467,28065,16,94,64,0
1921680201,21773160140,33934,443,3202744492,2273091789,28590,16,78,64,0
1921680206,1921680201,53545,80,33128554,3385306,512,2,60,64,1
1921680214,1921680201,27723,80,1228829071,1582300612,512,2,60,64,1
1921680201,21773160140,33934,443,3202737032,2272835594,29493,16,66,64,0
1921680219,1921680201,7501,80,1344770533,1409722372,512,2,60,64,1
1921680219,1921680201,5011,80,1542307789,384659172,512,2,60,64,1
1921680207,1921680201,38471,80,922380196,1448839001,512,2,60,64,1
1921680201,21773160140,33934,443,3202707192,2271437266,29366,16,78,64,0
1921680201,21773160140,33934,443,3202692272,2270437037,29546,16,66,64,0
1921680209,1921680201,64346,80,1644229881,645257341,512,2,60,64,1
1921680201,21773160140,33934,443,3202662432,2269284941,27734,16,94,64,0
1921680217,1921680201,42683,80,1344268456,1189503000,512,2,60,64,1
1921680202,1921680201,64020,80,1586430568,702892599,512,2,60,64,1
