src_ip,dst_ip,src_port,dst_port,packet_size,ttl,label
1534551153,1921680201,23890,53,60,64,1
2448915713,1921680201,63851,53,60,64,1
7117753152,1921680201,41194,53,60,64,1
2251313356,1921680201,5976,53,60,64,1
3317962207,1921680201,52662,53,60,64,1
9167125230,1921680201,17785,53,60,64,1
36204220137,1921680201,44814,53,60,64,1
59172152137,1921680201,23891,53,60,64,1
108322368,1921680201,13270,53,60,64,1
18415932202,1921680201,41195,53,60,64,1
2059170250,1921680201,62067,53,60,64,1
20323348188,1921680201,52663,53,60,64,1
13144195163,1921680201,44815,53,60,64,1
125219157221,1921680201,17786,53,60,64,1
757611741,1921680201,32641,53,60,64,1
22076112112,1921680201,63853,53,60,64,1
10212819785,1921680201,22731,53,60,64,1
611622055,1921680201,44816,53,60,64,1
2418732111,1921680201,52664,53,60,64,1
131514188,1921680201,41197,53,60,64,1
125873076,1921680201,17787,53,60,64,1
7612614095,1921680201,23893,53,60,64,1
3713017166,1921680201,62069,53,60,64,1
4313820961,1921680201,60021,53,60,64,1
2184710226,1921680201,44817,53,60,64,1
419134128,1921680201,41198,53,60,64,1
19920611750,1921680201,32643,53,60,64,1
9119721929,1921680201,17788,53,60,64,1
12824210027,1921680201,13273,53,60,64,1
157225109171,1921680201,63855,53,60,64,1
199132102122,1921680201,44818,53,60,64,1
1898511752,1921680201,32644,53,60,64,1
2246226127,1921680201,62071,53,60,64,1
76243255200,1921680201,17789,53,60,64,1
21922180232,1921680201,23895,53,60,64,1
130576568,1921680201,13274,53,60,64,1
84124088,1921680201,44819,53,60,64,1
16086219,1921680201,5982,53,60,64,1
173129167163,1921680201,63856,53,60,64,1
5511015363,1921680201,62072,53,60,64,1
95801951,1921680201,52667,53,60,64,1
16963216216,1921680201,44820,53,60,64,1
1751551094,1921680201,32646,53,60,64,1
10236105203,1921680201,17790,53,60,64,1
19169255110,1921680201,41201,53,60,64,1
6332236,1921680201,63857,53,60,64,1
